  newton     size     KB                 algo         ms    MIter/s
       1  1000000   7812               Native   0.136730     7313.7
       1  1000000   7812                  Opt   0.136511    7325.39
       1  1000000   7812                 AVX2   0.136405    7331.11
       1  1000000   7812             Parallel   0.020625    48485.5
       1  1000000   7812              Dynamic  15.210800    65.7428
       1  1000000   7812        Parallel_AVX2   0.020095    49762.9
       2   500000   3906               Native   0.552195    1810.96
       2   500000   3906                  Opt   0.104006    9614.84
       2   500000   3906                 AVX2   0.105316    9495.22
       2   500000   3906             Parallel   0.021324    46896.1
       2   500000   3906              Dynamic   7.621024    131.216
       2   500000   3906        Parallel_AVX2   0.021112    47366.4
       3   333333   2604               Native   0.550640    1816.07
       3   333333   2604                  Opt   0.124288    8045.84
       3   333333   2604                 AVX2   0.123580    8091.93
       3   333333   2604             Parallel   0.023085    43318.1
       3   333333   2604              Dynamic   5.082332     196.76
       3   333333   2604        Parallel_AVX2   0.022834    43794.4
      10   100000    781               Native   0.885921    1128.77
      10   100000    781                  Opt   0.236032    4236.72
      10   100000    781                 AVX2   0.235620    4244.11
      10   100000    781             Parallel   0.033032    30273.4
      10   100000    781              Dynamic   1.597713    625.895
      10   100000    781        Parallel_AVX2   0.033252    30073.7
      14    71428    558               Native   1.081784    924.392
      14    71428    558                  Opt   0.288265    3469.01
      14    71428    558                 AVX2   0.289279    3456.85
      14    71428    558             Parallel   0.037307    26804.5
      14    71428    558              Dynamic   1.224609    816.581
      14    71428    558        Parallel_AVX2   0.037092    26959.5
      15    66666    520               Native   1.150821    868.936
      15    66666    520                  Opt   0.298444    3350.67
      15    66666    520                 AVX2   0.305089    3277.69
      15    66666    520             Parallel   0.062995    15874.2
      15    66666    520              Dynamic   1.158312    863.316
      15    66666    520        Parallel_AVX2   0.037947    26352.2
      16    62500    488               Native   1.193579    837.816
      16    62500    488                  Opt   0.305841    3269.67
      16    62500    488                 AVX2   0.305927    3268.76
      16    62500    488             Parallel   0.039475    25332.6
      16    62500    488              Dynamic   1.091369     916.28
      16    62500    488        Parallel_AVX2   0.039033    25619.1
      17    58823    459               Native   1.269052    787.983
      17    58823    459                  Opt   1.253891     797.51
      17    58823    459                 AVX2   0.313137    3193.46
      17    58823    459             Parallel   0.135587    7375.26
      17    58823    459              Dynamic   1.019558    980.808
      17    58823    459        Parallel_AVX2   0.039703    25186.8
      18    55555    434               Native   1.253410    797.815
      18    55555    434                  Opt   1.287212    776.865
      18    55555    434                 AVX2   0.322487    3100.87
      18    55555    434             Parallel   0.140121    7136.62
      18    55555    434              Dynamic   0.961619     1039.9
      18    55555    434        Parallel_AVX2   0.040291    24819.3
      50    20000    156               Native   2.321621    430.734
      50    20000    156                  Opt   2.263761    441.743
      50    20000    156                 AVX2   0.518308    1929.36
      50    20000    156             Parallel   0.211266    4733.37
      50    20000    156              Dynamic   0.415627       2406
      50    20000    156        Parallel_AVX2   0.048936    20434.8
     100    10000     78               Native   3.086490    323.993
     100    10000     78                  Opt   3.014219    331.761
     100    10000     78                 AVX2   0.586182    1705.95
     100    10000     78             Parallel   0.356481     2805.2
     100    10000     78              Dynamic   0.307669    3250.24
     100    10000     78        Parallel_AVX2   0.049338    20268.3
     200     5000     39               Native   3.426763    291.821
     200     5000     39                  Opt   3.437772    290.886
     200     5000     39                 AVX2   0.616487    1622.09
     200     5000     39             Parallel   0.252969    3953.05
     200     5000     39              Dynamic   0.271719    3680.27
     200     5000     39        Parallel_AVX2   0.050720    19716.1
     500     2000     15               Native   3.680609    271.694
     500     2000     15                  Opt   3.663533    272.961
     500     2000     15                 AVX2   0.635460    1573.66
     500     2000     15             Parallel   0.254979    3921.89
     500     2000     15              Dynamic   0.261730    3820.74
     500     2000     15        Parallel_AVX2   0.052139    19179.6
    1000     1000      7               Native   3.741786    267.252
    1000     1000      7                  Opt   3.733689    267.832
    1000     1000      7                 AVX2   0.651349    1535.28
    1000     1000      7             Parallel   0.259240    3857.42
    1000     1000      7              Dynamic   0.264478    3781.03
    1000     1000      7        Parallel_AVX2   0.052323    19112.2
