g++ -std=c++20 -Ofast main.cpp -o main -fopenmp -mavx2 -funroll-all-loops -funroll-loops
taskset -c 0-15 ./main
  newton     size     KB                 algo         ms    MIter/s
       2   500000   3906               Native   0.555572    1799.95
       2   500000   3906                  Opt   0.103472    9664.49
       2   500000   3906                 AVX2   0.104946    9528.73
       2   500000   3906             Parallel   0.021201    47167.3
       2   500000   3906              Dynamic   8.129372    123.011
       2   500000   3906        Parallel_AVX2   0.020823    48023.1
      16    62500    488               Native   1.198000    834.725
      16    62500    488                  Opt   0.305302    3275.44
      16    62500    488                 AVX2   0.305657    3271.64
      16    62500    488             Parallel   0.039808    25120.4
      16    62500    488              Dynamic   1.114752     897.06
      16    62500    488        Parallel_AVX2   0.039306    25441.1
      18    55555    434               Native   1.299451    769.548
      18    55555    434                  Opt   1.256154    796.073
      18    55555    434                 AVX2   0.327000    3058.07
      18    55555    434             Parallel   0.139744    7155.87
      18    55555    434              Dynamic   0.980186     1020.2
      18    55555    434        Parallel_AVX2   0.040415    24743.3
     100    10000     78               Native   3.063291    326.446
     100    10000     78                  Opt   3.015567    331.613
     100    10000     78                 AVX2   0.599337    1668.51
     100    10000     78             Parallel   0.257884    3877.71
     100    10000     78              Dynamic   0.306422    3263.48
     100    10000     78        Parallel_AVX2   0.049484    20208.7
    1000     1000      7               Native   3.732571    267.912
    1000     1000      7                  Opt   3.737628    267.549
    1000     1000      7                 AVX2   0.641410    1559.07
    1000     1000      7             Parallel   0.259251    3857.27
    1000     1000      7              Dynamic   0.264989    3773.74
    1000     1000      7        Parallel_AVX2   0.052120    19186.3
   10000      100      0               Native   3.825927    261.375
   10000      100      0                  Opt   3.839952     260.42
   10000      100      0                 AVX2   0.673624    1484.51
   10000      100      0             Parallel   0.289409    3455.32
   10000      100      0              Dynamic   0.287829    3474.29
   10000      100      0        Parallel_AVX2   0.063383    15777.1
