  newton     size     KB                 algo         ms    MIter/s
       2   500000   3906               Native   0.626802     1595.4
       2   500000   3906                  Opt   0.126043    7933.81
       2   500000   3906                 AVX2   0.128354    7790.96
       2   500000   3906             Parallel   0.033848    29544.2
       2   500000   3906              Dynamic  10.132310    98.6942
       2   500000   3906        Parallel_AVX2   0.042459    23552.4
      16    62500    488               Native   1.217029    821.673
      16    62500    488                  Opt   0.322754    3098.34
      16    62500    488                 AVX2   0.322506    3100.71
      16    62500    488             Parallel   0.043194    23151.4
      16    62500    488              Dynamic   1.353858     738.63
      16    62500    488        Parallel_AVX2   0.045162    22142.7
      18    55555    434               Native   1.256218    796.032
      18    55555    434                  Opt   1.263334    791.549
      18    55555    434                 AVX2   0.324723    3079.52
      18    55555    434             Parallel   0.115931    8625.77
      18    55555    434              Dynamic   1.208831    827.237
      18    55555    434        Parallel_AVX2   0.043400    23041.1
     100    10000     78               Native   3.065301    326.232
     100    10000     78                  Opt   3.032697     329.74
     100    10000     78                 AVX2   0.583832    1712.82
     100    10000     78             Parallel   0.162602    6149.99
     100    10000     78              Dynamic   0.265488    3766.65
     100    10000     78        Parallel_AVX2   0.045117    22164.8
    1000     1000      7               Native   3.776190    264.817
    1000     1000      7                  Opt   3.761427    265.857
    1000     1000      7                 AVX2   0.641309    1559.31
    1000     1000      7             Parallel   0.176422    5668.21
    1000     1000      7              Dynamic   0.157697    6341.28
    1000     1000      7        Parallel_AVX2   0.046131    21677.6
   10000      100      0               Native   3.852743    259.555
   10000      100      0                  Opt   3.858887    259.142
   10000      100      0                 AVX2   0.674425    1482.74
   10000      100      0             Parallel   0.195342    5119.23
   10000      100      0              Dynamic   0.172522    5796.37
   10000      100      0        Parallel_AVX2   0.086826    11517.3
